,date,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,anti-aircraft warfare,military auto
0,2022-02,435000000,232000000,180000000,326400000,44400000,16800000,300000,20000000,25000000,23280000
1,2022-03,2025000000,1048000000,736800000,694000000,186600000,76800000,8300000,70000000,270000000,96080000
2,2022-04,2850000000,1240000000,1209600000,978000000,261600000,120800000,23200000,890000000,385000000,136080000
3,2022-05,3120000000,1392000000,1629600000,1320800000,389400000,165600000,51500000,900000000,465000000,182000000
4,2022-06,3255000000,1480000000,1887600000,1490400000,474000000,196800000,64100000,900000000,520000000,208160000
5,2022-07,3345000000,1520000000,2115600000,1601600000,549600000,207200000,73500000,900000000,585000000,232160000
6,2022-08,3510000000,1632000000,2368800000,1724800000,654600000,228000000,84900000,900000000,760000000,258880000
7,2022-09,3960000000,1800000000,2805600000,1972800000,834600000,266400000,100300000,900000000,880000000,301440000
8,2022-10,3990000000,1880000000,2983200000,2053200000,886200000,278400000,108600000,900000000,900000000,311200000
